"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 13 22:51:29 MSK 2021","Sat Mar 13 22:51:32 MSK 2021","2459","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sat Mar 13 22:50:40 MSK 2021","Sat Mar 13 22:50:53 MSK 2021","12509","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Mar 13 22:51:57 MSK 2021","Sat Mar 13 22:52:00 MSK 2021","3079","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sat Mar 13 22:52:41 MSK 2021","Sat Mar 13 22:52:43 MSK 2021","1827","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sat Mar 13 22:51:10 MSK 2021","Sat Mar 13 22:51:13 MSK 2021","3630","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sat Mar 13 22:50:57 MSK 2021","Sat Mar 13 22:51:00 MSK 2021","2632","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Sat Mar 13 22:53:35 MSK 2021","Sat Mar 13 22:53:39 MSK 2021","4553","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Sat Mar 13 22:52:04 MSK 2021","Sat Mar 13 22:52:06 MSK 2021","2471","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Mar 13 22:52:10 MSK 2021","Sat Mar 13 22:52:21 MSK 2021","11859","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 13 22:50:29 MSK 2021","Sat Mar 13 22:50:31 MSK 2021","2221","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sat Mar 13 22:52:46 MSK 2021","Sat Mar 13 22:52:59 MSK 2021","12388","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Mar 13 22:51:03 MSK 2021","Sat Mar 13 22:51:06 MSK 2021","2619","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sat Mar 13 22:51:23 MSK 2021","Sat Mar 13 22:51:26 MSK 2021","2598","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sat Mar 13 22:51:49 MSK 2021","Sat Mar 13 22:51:52 MSK 2021","2848","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"skipped","Sat Mar 13 22:52:25 MSK 2021","Sat Mar 13 22:52:32 MSK 2021","6724","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sat Mar 13 22:51:17 MSK 2021","Sat Mar 13 22:51:20 MSK 2021","2970","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"skipped","Sat Mar 13 22:51:43 MSK 2021","Sat Mar 13 22:51:46 MSK 2021","2890","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sat Mar 13 22:52:36 MSK 2021","Sat Mar 13 22:52:37 MSK 2021","1192","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sat Mar 13 22:50:35 MSK 2021","Sat Mar 13 22:50:37 MSK 2021","1645","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"passed","Sat Mar 13 22:51:36 MSK 2021","Sat Mar 13 22:51:39 MSK 2021","3597","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sat Mar 13 22:53:13 MSK 2021","Sat Mar 13 22:53:24 MSK 2021","11465","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
